,Año,Trimestre,Alquiler mensual en soles corrientes,Distrito,Superficie,Número de habitaciones,Número de baños,Número de garages,Años de antigüedad
149,2010,2,1619.446,San Borja,91.0,3.0,2.0,1.0,9.0
150,2010,2,2074.027333333333,San Borja,120.0,3.0,2.0,0.0,4.0
151,2010,2,2130.85,San Borja,280.0,2.0,3.0,1.0,26.0
152,2010,2,8523.4,San Isidro,270.0,4.0,4.0,2.0,1.0
153,2010,2,2557.02,San Isidro,120.0,2.0,1.0,1.0,12.0
154,2010,2,3409.3599999999997,San Isidro,150.0,3.0,2.0,1.0,8.0
155,2010,2,8523.4,San Isidro,180.0,2.0,2.5,2.0,10.0
156,2010,2,2557.02,San Isidro,120.0,2.0,1.5,1.0,8.0
157,2010,2,4829.926666666666,San Isidro,180.0,3.0,2.5,1.0,10.0
158,2010,2,2272.9066666666663,San Isidro,120.0,2.0,1.0,1.0,8.0
159,2010,2,1633.6516666666664,San Isidro,50.0,1.0,1.0,1.0,7.0
160,2010,2,810.3660404598833,San Miguel,85.0,2.0,1.0,1.0,13.0
161,2010,2,1200.54228216279,San Miguel,110.0,2.0,2.0,0.0,1.0
162,2010,2,840.3795975139528,San Miguel,98.0,2.0,2.0,0.0,7.0
163,2010,2,1200.54228216279,San Miguel,100.0,3.0,2.5,1.0,9.0
164,2010,2,750.3389263517436,San Miguel,90.0,2.0,1.0,1.0,15.0
165,2010,2,500.2259509011625,San Miguel,60.0,1.0,1.0,0.0,5.0
166,2010,2,800.3615214418598,San Miguel,80.0,2.0,1.0,0.0,9.0
167,2010,2,330.1491275947672,San Miguel,55.0,1.0,1.0,0.0,14.0
168,2010,2,2699.0766666666664,Surco,230.0,4.0,5.0,1.0,3.0
169,2010,2,1988.793333333333,Surco,180.0,3.0,2.0,1.0,11.0
170,2010,2,568.2266666666666,Surco,40.0,1.0,1.0,0.0,13.0
171,2010,2,852.3399999999999,Surco,120.0,2.0,2.0,0.0,1.0
172,2010,2,426.16999999999996,Surco,70.0,1.0,1.0,0.0,20.0
173,2010,2,710.2833333333333,Surco,62.0,2.0,1.0,0.0,5.0
174,2010,2,3750.296,Surco,159.0,3.0,3.0,2.0,2.0
175,2010,2,2301.039374145347,Barranco,252.0,3.0,3.0,2.0,8.0
176,2010,2,1300.5874723430225,Barranco,66.0,1.0,1.0,1.0,23.0
177,2010,2,2401.08456432558,Jesús María,100.0,2.0,1.0,1.0,4.0
178,2010,2,2040.9218796767427,Jesús María,82.0,1.0,1.0,1.0,4.0
179,2010,2,2401.08456432558,Jesús María,150.0,5.0,4.0,1.0,3.0
180,2010,2,1950.8812085145335,Jesús María,100.0,3.0,3.0,1.0,1.0
181,2010,2,800.3615214418598,Jesús María,80.0,2.0,1.0,0.0,13.0
182,2010,2,4687.87,La Molina,114.0,3.0,2.0,0.0,16.0
183,2010,2,8523.4,La Molina,147.5,5.0,6.5,5.0,5.0
184,2010,2,2537.1320666666666,La Molina,150.0,3.0,5.5,2.0,10.0
185,2010,2,460.20787482906945,Lince,60.0,1.0,1.0,1.0,8.0
186,2010,2,450.20335581104626,Lince,50.0,1.0,1.0,0.0,13.0
187,2010,2,500.2259509011625,Lince,45.0,1.0,1.0,0.0,17.0
188,2010,2,1480.6688146674408,Magdalena,80.0,2.0,2.0,0.0,17.0
189,2010,2,700.3163312616275,Magdalena,60.0,1.0,1.0,0.0,1.0
190,2010,2,2040.9218796767427,Magdalena,120.0,3.0,3.0,1.0,1.0
191,2010,2,2341.0574502174404,Magdalena,104.0,3.0,2.0,1.0,2.0
